,PART I,,,,,,,,,,PART II,,,,,,,,,,,
Index #,Rating,Rank,Level (A/J/M),Billet Title,Functional Area,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,NEC Refresher Training Selection,Journeyman,Master,Notes
1db06f133132,ABE,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify  Butterfly Valve (High Performance) components copy,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify  Butterfly Valve (High Performance) components,Knowledge/Performance Test,,,,N/A
1db06f133133,ABE,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Aircraft components copy,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aircraft components,Knowledge/Performance Test,,,,N/A
1db06f133134,ABE,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Automatic Fuel/Defuel Valve components copy,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Automatic Fuel/Defuel Valve components,Knowledge/Performance Test,,,,N/A
1db06f133135,ABE,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,"Identify fuels division logs, records, and reports copy",Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,"Identify fuels division logs, records, and reports",Knowledge/Performance Test,,,,N/A
1db06f133136,ABE,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Gate-Valve components copy,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Gate-Valve components,Knowledge/Performance Test,,,,N/A
1db06f133137,ABE,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Globe Valve Components copy,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Globe Valve Components,Knowledge/Performance Test,,,,N/A
1db06f133138,ABE,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify One Way Check Valve (Swing-Type) components copy,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify One Way Check Valve (Swing-Type) components,Knowledge/Performance Test,,,,N/A
1db06f133139,ABE,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify organization duties and responsibilities copy,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify organization duties and responsibilities,Knowledge/Performance Test,,,,N/A
1db06f133140,ABE,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Monitor maintenance programs copy,Rating Specific Task,No,C-821-2010,Aviation Boatswain's Mate (F) Course,A-School,CNATT,CTTL,"Manage division personnel, spaces, and administration","Knowledge/Performance Test, Oral Board/Test",,,,N/A
1db06f133141,ABE,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Supervise quality surveillance program copy,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
1db06f133142,ABE,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Validate equipment inventory copy,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
