,PART I,,,,,,,,,,PART II,,,,,,,,,,,
Index #,Rating,Rank,Level (A/J/M),Billet Title,Functional Area,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,NEC Refresher Training Selection,Journeyman,Master,Notes
820c138d-1a06-4767-b2a8-1db06f133132,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify  Butterfly Valve (High Performance) components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify  Butterfly Valve (High Performance) components,Knowledge/Performance Test,,,,N/A
9defa568-179b-46b7-8213-90a88d6ff803,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Aircraft components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aircraft components,Knowledge/Performance Test,,,,N/A
c31819b4-368c-4e9f-844a-9451474385ef,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Automatic Fuel/Defuel Valve components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Automatic Fuel/Defuel Valve components,Knowledge/Performance Test,,,,N/A
b58721d7-545f-4dfb-8af7-8fc77ce2eed9,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify automotive gasoline storage and delivery components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify automotive gasoline storage and delivery components,Knowledge/Performance Test,,,,N/A
3e9c4d48-6f3b-42e0-92ff-dd0f1f4cb423,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Aviation Fuels certification program,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aviation Fuels certification program,Knowledge/Performance Test,,,,N/A
aedc6e28-ff09-4d21-8948-05fedaf2ecfb,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Aviation Fuels Operational Sequencing System,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aviation Fuels Operational Sequencing System,Knowledge/Performance Test,,,,N/A
3724be4e-7794-4afe-ae8d-2d9d757e20d0,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Aviation Fuels technical publication,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aviation Fuels technical publication,Knowledge/Performance Test,,,,N/A
48156743-4343-4fd3-9294-d7feadd71de7,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify blue prints and diagram,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify blue prints and diagram,Knowledge/Performance Test,,,,N/A
5ba841a5-a657-4a78-b3aa-c4efbc86d278,ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Identify Catapult lube oil components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Catapult lube oil components,Knowledge/Performance Test,,,,N/A
