,PART I,,,,,,,,,,PART II,,,,,,,,,,,
Index #,Rating,Rank,Level (A/J/M),Billet Title,Functional Area,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,NEC Refresher Training Selection,Journeyman,Master,Notes
ac4920f4-0272-4f16-b604-0fa7ea047d79,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Respond to collision Alarms/Limitations/Emergencies for Fuels Management Officer,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
8b8ea82c-6167-4094-8788-82c4f70f5d8f,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,"Develop, submit, and monitor financial budgets",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
3d9fcbfc-2d74-4f61-a266-79bea496a175,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,"Develop, submit, and monitor MRE projects",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
da0df481-aa60-43da-9445-34bced629e54,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Direct and monitor fuel handling operations,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
4b51cedc-3fcd-43b6-90ff-b8355bb020ee,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Direct disposition of off specification fuels,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
a380b796-51fa-416b-8dba-e57775c3b063,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Respond to equipment malfunction Alarms/Limitations/Emergencies for Fuels Management Officer,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
e87dabf0-ac01-421a-804d-e9ddffe9e63e,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Establish training/drill requirements,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
61074d65-9725-4db1-b94d-6bd9ad75bac0,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Respond to fire Alarms/Limitations/Emergencies for Fuels Management Officer,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
acb07af0-5d10-43d4-857a-56f3c34e9a85,ABF,E7,M,Aviation Fuels Shore Base Operations Technician,MGMT,NAVEDTRA 43288-C (Aviation Fuel Operations Ashore) (308 - Fuels Management Officer),9/1/2004,300 Series PQS Watch Station,Forecast operational fuels requirements,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Could not verify if taught
