PART I,,,,,,,,,,PART II,,,,,,,,,,,
Rating,Rank,Level (A/J/M),Billet Title,Functional Area,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,NEC Refresher Training Selection,Journeyman,Master,Notes
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify  Butterfly Valve (High Performance) components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify  Butterfly Valve (High Performance) components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Aircraft components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aircraft components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Automatic Fuel/Defuel Valve components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Automatic Fuel/Defuel Valve components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify automotive gasoline storage and delivery components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify automotive gasoline storage and delivery components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Aviation Fuels certification program,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aviation Fuels certification program,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Aviation Fuels Operational Sequencing System,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aviation Fuels Operational Sequencing System,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Aviation Fuels technical publication,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Aviation Fuels technical publication,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify blue prints and diagram,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify blue prints and diagram,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Catapult lube oil components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Catapult lube oil components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Centrifugal Pump Components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Centrifugal Pump Components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Centrifugal Purifier components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Centrifugal Purifier components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Characteristics of Precision Measuring Tools,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Characteristics of Precision Measuring Tools,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify combined contaminated fuel detector (CCFD) components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify combined contaminated fuel detector (CCFD) components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Electric Valve Operator components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Electric Valve Operator components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Flash points components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Flash points components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Fuel System Icing Inhibitor (FSII) components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Fuel System Icing Inhibitor (FSII) components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,"Identify fuels division logs, records, and reports",Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,"Identify fuels division logs, records, and reports",Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Gate-Valve components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Gate-Valve components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Globe Valve Components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Globe Valve Components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify Hose and Hose Reel Components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify Hose and Hose Reel Components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify JP-5 Below Deck emergency procedures,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Below Deck emergency procedures,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify JP-5 Fill and Transfer system components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Fill and Transfer system components,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify JP-5 Filter Separator,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Filter Separator,Knowledge/Performance Test,,,,N/A
ABF,E4,A,Aviation Fuels Maintenance Technician - D14A,JP-5 Operations,NAVPERS 18068F Vol II,07/01/21,NEC,Identify JP-5 Filter Stripping components,Rating Specific Task,No,C-821-2014,Aviation Fuels Maintenance Technician Course,C-School,CNATT,TCCD,Identify JP-5 Filter Stripping components,Knowledge/Performance Test,,,,N/A
