Index #,Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
NS-001,1179,ALL,E1,A,General Sailor,"Watchstanding and Watch, Quarter, and Station Bill",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Stand non-petty officer military watches,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Perform watchstanding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-002,1180,ALL,E1,A,General Sailor,"Watchstanding and Watch, Quarter, and Station Bill",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Stand lookout watches,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Perform watchstanding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-003,1181,ALL,E1,A,General Sailor,"Watchstanding and Watch, Quarter, and Station Bill",NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the eleven general orders of a sentry,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,State and understand the purpose of the general orders of a sentry,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-004,1182,ALL,E1,A,General Sailor,Seamanship,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the terminology used in deck and boat seamanship,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Comprehend basic seamanship characteristics and terminology,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-005,1183,ALL,E1,A,General Sailor,Uniforms,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Maintain grooming standards,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Comply with U.S. Navy Uniform Regulations, rules of military etiquette and bearing, and grooming standards",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-006,1184,ALL,E1,A,General Sailor,Force Protection,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Understand and execute responsibilities during each Force Protection Condition (FPCON) posture,All Sailor Task (ships),No,A-830-0018,Armed Sentry/Security Reaction Force-Basic,G-School,NSTC,TCCD,Comprehend shipboard terrorist force protection condition (FPCON) measures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-007,1185,ALL,E1,A,General Sailor,Communications,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Understand responsible use of social media,All Sailor Task (ships),No,A-500-0613,LifeSkills,G-School,CENSERVSUPP,CTTL,Use social media responsibly,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-008,1186,ALL,E1,A,General Sailor,Safety,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the safety precautions when working with or in the vicinity of steam,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-009,1187,ALL,E1,A,General Sailor,Safety,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the safety precautions when working with or in the vicinity of personnel aloft or over the side,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-010,1188,ALL,E1,A,General Sailor,Safety,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Know the safety precautions when working with or in the vicinity of voids, tanks, and closed compartments",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-011,1189,ALL,E1,A,General Sailor,Safety,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the safety precautions when working with or in the vicinity of shipyards and dry docks,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-012,1190,ALL,E1,A,General Sailor,First Aid & Health,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Administer Cardiopulmonary Resuscitation (CPR),All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Perform simulated first aid,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-013,1191,ALL,E1,A,General Sailor,Survival,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Perform floating technique using buoyant debris such as shoring and buckets,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,Perform the procedures for utilizing personal floatation devices,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-014,1192,ALL,E1,A,General Sailor,Damage Control,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the required contents and the proper use of required contents in a shipboard Damage Control (DC) Locker,All Sailor Task (ships),No,A-950-0001,Recruit Basic Military Training,A-School,NSTC,TCCD,"Describe the purpose of Damage Control Central (DCC)/Central Control Station (CCS), and the location and purpose of the DC closure log and compartment check-off list",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-015,1193,ALL,E1,A,General Sailor,Material Preservation and Maintenance,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Identify fixtures, devices and surfaces to which paint or liquid cleaners should not be applied",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-016,1194,ALL,E1,A,General Sailor,Material Preservation and Maintenance,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Clean, paint, and/or preserve required surfaces",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-017,1195,ALL,E1,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the requirements for Enlisted Warfare Specialist designations,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-018,1196,ALL,E1,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose and procedures of the enlisted retention board,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-019,1197,ALL,E1,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Know the purpose and procedures of the Perform to Serve (PTS) program,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-020,1198,ALL,E1,A,General Sailor,Career Information,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Maintain Navy Standard Integrated Personnel System (NSIPS) account,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-021,1199,ALL,E1,A,General Sailor,Training,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Understand the basic use of computer applications to include word processors, spreadsheets, desktop publishing, email, and electronic calendars",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
