,Part 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
NS-505,1683,ALL,E8,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Describe the prioritization and utilization of limited resources in managing risk to ensure mission success,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-506,1684,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Advise personnel on standards of performance and conduct,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-507,1685,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Advise Commanding Officer on formulation and implementation changes in policy affecting the enlisted force,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-508,1686,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Ensure heritage and tradition are key components of training plans and Sailor development,All Sailor Task (ships),No,A-570-4500,Command Master Chief/Chief of the Boat,G-School,NLEC,TCCD,Counsel Chief Petty Officer Mess members,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-509,1687,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,"Ensure basic and traditional communication practices (Sailor-led general military training, quarters for muster, instruction, and inspection, etc.) are executed within the command",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-510,1688,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Communicate with and support Navy family members,All Sailor Task (ships),No,A-570-4500,Command Master Chief/Chief of the Boat,G-School,NLEC,TCCD,Counsel Chief Petty Officer Mess members,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-511,1689,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide guidance to senior enlisted in developing leadership skills,All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Communicate risk up and down the chain of command during normal day to day operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-512,1690,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide leadership in the Chief Petty Officer's mess,All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Communicate risk up and down the chain of command during normal day to day operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-513,1691,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Provide counsel to senior personnel,All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Communicate risk up and down the chain of command during normal day to day operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-514,1692,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Conduct midterm evaluations on senior enlisted leadership,All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Communicate risk up and down the chain of command during normal day to day operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-515,1693,ALL,E9,M,General Sailor,Leadership/Supervision,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Brief commanders on controls and resources that command can create to reduce risk to personnel (reduce risk to force),All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Communicate risk up and down the chain of command during normal day to day operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NS-516,1694,ALL,E9,M,General Sailor,Programs and Policies,NAVPERS 18068F Vol I,7/1/2021,Naval Standard Task,Identify controls and resources that the command can create to reduce risk to operations (reduce risk to mission),All Sailor Task (ships),No,A-493-0050,Introduction to Naval Safety and Occupational Health Ashore,G-School,CENSAFE,TCCD,Communicate risk up and down the chain of command during normal day to day operations,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
