Index #,Rating,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach
NEC1-001,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Apply concepts of marine navigation,Knowledge/Performance Test
NEC1-002,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Apply fix procedures,Knowledge/Performance Test
NEC1-003,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Apply navigation rules,Knowledge/Performance Test
NEC1-004,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Apply navigational safety warnings,Knowledge/Performance Test
NEC1-005,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Classify contacts,Knowledge/Performance Test
NEC1-006,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Compute gyrocompass error,Knowledge/Performance Test
NEC1-007,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Compute tidal currents and current predictions,Knowledge/Performance Test
NEC1-008,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Compute tides and tidal predictions,Knowledge/Performance Test
NEC1-009,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Conduct VMS casualty procedures,Knowledge/Performance Test
NEC1-010,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Construct navigation briefs,Knowledge/Performance Test
NEC1-011,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Display flags and pennants,Knowledge/Performance Test
NEC1-012,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Interpret electronic charts,Knowledge/Performance Test
NEC1-013,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Interpret the Commanding Officer's (CO's) orders,Knowledge/Performance Test
NEC1-014,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Maintain checklists,Knowledge/Performance Test
NEC1-015,QM,A-061-0300,QM J,C-School,SWSC,CTTL,"Maintain the ship's records, logs, and forms",Knowledge/Performance Test
NEC1-016,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Manage sensor inputs to VMS,Knowledge/Performance Test
NEC1-017,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Operate signalman equipment,Knowledge/Performance Test
NEC1-018,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Operate the DAGR,Knowledge/Performance Test
NEC1-019,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Operate the Digital Flux Gate Magnetic Compass (DFGMC),Knowledge/Performance Test
NEC1-020,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform anchor planning procedures,Knowledge/Performance Test
NEC1-021,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform celestial navigation,Knowledge/Performance Test
NEC1-022,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform ceremonial procedures,Knowledge/Performance Test
NEC1-023,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform compass maintenance procedures,Knowledge/Performance Test
NEC1-024,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform Dead Reckoning (DR) procedures,Knowledge/Performance Test
NEC1-025,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform error chain analysis (Honda Point Mishap),Knowledge/Performance Test
NEC1-026,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform error chain analysis (USS Arleigh Burke Mishap),Knowledge/Performance Test
NEC1-027,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform error chain analysis (USS Guardian Mishap),Knowledge/Performance Test
NEC1-028,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform flag hoist procedures,Knowledge/Performance Test
NEC1-029,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform flashing light procedures,Knowledge/Performance Test
NEC1-030,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform honors procedures,Knowledge/Performance Test
NEC1-031,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform meteorology procedures,Knowledge/Performance Test
NEC1-032,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform nautical chart procedures,Knowledge/Performance Test
NEC1-033,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform nautical time calculations,Knowledge/Performance Test
NEC1-034,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform piloting procedures,Knowledge/Performance Test
NEC1-035,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform procedures for establishing and maintaining communications,Knowledge/Performance Test
NEC1-036,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform VMS alarm management,Knowledge/Performance Test
NEC1-037,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform VMS systems setup,Knowledge/Performance Test
NEC1-038,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Perform weather observations and reporting procedures,Knowledge/Performance Test
NEC1-039,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Prepare a MOVREP,Knowledge/Performance Test
NEC1-040,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Use applicable inspection checklists,Knowledge/Performance Test
NEC1-041,QM,A-061-0300,QM J,C-School,SWSC,CTTL,Utilize aids to navigation,Knowledge/Performance Test
