Index #,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
OC-100,QM,E7,M,Navigation Manager,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Manage equipment certifications and recertifications,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Equipment Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 15,3,220:01:00,220,Add to current Master Course
OC-101,QM,E7,M,Navigation Manager,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Verify equipment installation, testing, and alterations",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Equipment Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 15,3,220:01:00,660,Add to current Master Course
PM-056,QM,E7,M,Safety PO ,Maintenance,6342/001,N/A,Maintenance Index Page (MIP),"Maintain deck coverings, critical coated nonskid",All Sailor Task (Ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PM-057,QM,E7,M,Safety PO ,Maintenance,6342/001,N/A,Maintenance Index Page (MIP),"Troubleshoot deck coverings, critical coated nonskid",All Sailor Task (Ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-001,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Inspect Brow Watches,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-002,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Inspect ship’s brow, mooring lines, ground tackle and position around brow/elevator area or breasting camel at stern of ship when brow located astern",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-003,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review current and scheduled activities/evolutions and conditions of readiness,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-004,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review current and predicted weather and tidal conditions with the OOD prior to assuming the watch,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-005,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Ascertain location /availability of CO, XO, and embarked commanders with OOD prior to assuming the watch",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-006,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,Review required publications and instructions available on the brow,All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-007,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Review ship’s, SOPA’s and OPNAV’s policies for civilian liberty boats",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ16-008,QM,E7,M,Junior Officer of the Deck,Administration,NAVEDTRA 43397-F (305 Junior Officer of the Deck),10/2/2017,300 Series PQS Watch Station,"Review ship’s, SOPA’s policies for ship’s boats",All Sailor Task (ships),Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Pending validation and GFI,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
