Index #,Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
NEC1-001,1,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply concepts of marine navigation,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Apply concepts of marine navigation,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-002,2,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply fix procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Apply fix procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-003,3,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply navigation rules,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Apply navigation rules,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-004,4,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply navigational safety warnings,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Apply navigational safety warnings,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-005,5,QM,E4,A,Quartermaster Journeyman (W13A),Lookout and Signal Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Classify contacts,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Classify contacts,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-006,6,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Compute gyrocompass error,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Compute gyrocompass error,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-007,7,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Compute tidal currents and current predictions,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Compute tidal currents and current predictions,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-008,8,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Compute tides and tidal predictions,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Compute tides and tidal predictions,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-009,9,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Conduct VMS casualty procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Conduct VMS casualty procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-010,10,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Construct navigation briefs,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Construct navigation briefs,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-011,11,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Display flags and pennants,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Display flags and pennants,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Lookout and Signal Operations,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-012,12,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Interpret electronic charts,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Interpret electronic charts,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-013,13,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Interpret the Commanding Officer's (CO's) orders,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Interpret the Commanding Officer's (CO's) orders,Knowledge/Performance Test,Time Gap for E4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NEC1-014,14,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Maintain checklists,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Maintain checklists,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
NEC1-015,15,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,"Maintain the ship's records, logs, and forms",Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,"Maintain the ship's records, logs, and forms",Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,N/A
