PART I,,,,,,,,,,,PART II,,,,,,,,,Part III Cluster Analysis,,,,,,,,,,
Unique Identifier,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Estimated Instructional Time,Notes
NEC1-001,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply concepts of marine navigation,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Apply concepts of marine navigation,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-002,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply fix procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Apply fix procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-003,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply navigation rules,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Apply navigation rules,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-004,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Apply navigational safety warnings,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Apply navigational safety warnings,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-005,QM,E4,A,Quartermaster Journeyman (W13A),Lookout and Signal Operations,NAVPERS 18068F Vol II,7/1/2021,NEC,Classify contacts,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Classify contacts,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-006,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Compute gyrocompass error,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Compute gyrocompass error,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-007,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Compute tidal currents and current predictions,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Compute tidal currents and current predictions,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-008,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Compute tides and tidal predictions,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Compute tides and tidal predictions,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Navigation - Maritime,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-009,QM,E4,A,Quartermaster Journeyman (W13A),Equipment Administration,NAVPERS 18068F Vol II,7/1/2021,NEC,Conduct VMS casualty procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Conduct VMS casualty procedures,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,VMS ,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
NEC1-010,QM,E4,A,Quartermaster Journeyman (W13A),Navigation,NAVPERS 18068F Vol II,7/1/2021,NEC,Construct navigation briefs,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Construct navigation briefs,Knowledge/Performance Test,Time Gap for E4,NEC Refresher,Technical Administration,VSIM,xAPI/Captivate/ VSIM,N/A,Year 7,1,220:01:00,220,,N/A
