Part1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Index #,Rating,Rank,Level (A),Billet Title,Functional Area ,Source,Date of Source,Work Element Type,Work Element (Task),Task Applicability,Formal Training Gap,CIN,Course Name,Course Type (A/C/G/F/T),Curriculum Control Authority (CCA),Life-Cycle Control Document,CTTL/PPP/TCCD Statement,Current Assessment Approach,Notes,Training Solution Type,Cluster Analysis Title,Recommended Modality,Development Specification,Candidate Platform,CFM Placement,Priority Placement,Development Ratio,Development Time (duration in hours),Notes
OC-025,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Determine ship's position (e.g., electronic, visual, radar, etc.)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Determine ship’s position using fathometer, running fixes, sextant angles, GPS and radar",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-031,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Graph tides and currents,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Graph tides and currents,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-032,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Identify lights and beacons using stopwatch,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Interpret lights/beacons using stopwatch,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-033,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Incorporate lookout information with navigation plot,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Incorporate lookout information with navigation plot,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-037,QM,E1,A,Navigation Administrator,Electronic System Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Maintain electronic navigation systems,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Operate electronic navigation systems,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-038,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Maintain halyards, halyard blocks, and tie downs",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Maintain halyards/halyard blocks/retrievers/tiedowns,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-039,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Make movement reports (MOVREP),Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Make movement reports (MOVREP),Knowledge/Performance Test,Time Gap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-045,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Obtain visual bearings using alidades,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Obtain visual bearings using alidades,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-046,QM,E1,A,Navigation Administrator,Communications,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Perform external communications (ship-to-ship, ship-to-shore)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform external communications,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-047,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Perform man overboard procedures,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Perform man overboard procedures,Knowledge/Performance Test,Time Gap,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-048,QM,E1,A,Navigation Administrator,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Perform preventive maintenance on navigation equipment,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Block Zero Addition,Equipment Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,N/A,Year 1,5,220:01:00,440,Revision to A School
OC-070,QM,E1,A,Navigation Administrator,Plotting,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Prepare restricted water tracks,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare restricted water tracks,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-071,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Prepare weather observation reports,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Prepare weather observation reports,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-072,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Report aids to navigation,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report aids to navigation,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-073,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Report audible and visual information (e.g., sound signals, lights, flags, etc.)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,"Report audible and visual information (e.g., sound signals, lights, flags, etc.)",Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-074,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Report contacts (air, surface)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report contacts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-075,QM,E1,A,Navigation Administrator,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Report flags (country flags, signal flags)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Report foreign flags,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-076,QM,E1,A,Navigation Administrator,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Report navigation rules and regulations signals (e.g., task lights, day shapes, sound signals, etc.)",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Determine rules of the road (ROR) signals,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
OC-096,QM,E6,J,Navigation Specialist,Equipment Administration,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Manage controlled equipment inventories,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Technical Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
OC-097,QM,E6,J,Navigation Specialist,Lookout and Signal Operations,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,"Supervise bridge team during special evolutions (e.g., underway replenishments (UNREP), sea and anchor details, navigation details, etc.)",Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Technical Administration,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
OC-098,QM,E6,J,Navigation Specialist,Navigation,NAVPERS 18068F Vol I,7/1/2021,Occupational Standard Task,Supervise shift of navigation control from bridge to secondary location,Rating Specific Task,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Not Taught,Course Revision,Navigation - Maritime,Performance Support/ Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-070,QM,E4,A,Navigation Specialist,Navigation,NAVEDTRA 43492 (313 - Voyage Management System [VMS] Operator),7/1/2020,300 Series PQS Watch Station,Verify the latest edition of VDU on NGA website for the local area,Rating Specific Task,No,A-061-0044,VMS 9 operator,F-School,SWSC,CTTL,Verify the latest edition of VDU on NGA website for the local area,Knowledge/Performance Test,Time Gap,Course Revision,VMS ,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-071,QM,E4,A,Navigation Specialist,Navigation,NAVEDTRA 43492 (313 - Voyage Management System [VMS] Operator),7/1/2020,300 Series PQS Watch Station,Verify the radar/chart alignment (if applicable) ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Adjust radar scope presentation to align with navigation charts,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-072,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (314 - Flag Bag Operator),7/1/2020,300 Series PQS Watch Station,Haul down halyard using retrieving line,Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Display flags and pennants,Knowledge/Performance Test,Time Gap,Course Revision,Lookout and Signal Operations,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-073,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (314 - Flag Bag Operator),7/1/2020,300 Series PQS Watch Station,"Perform the following IAW allied/international procedure: hoist signal to the dip, close up, & haul down",Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Send messages using signal flags (QuarterM A School); perform flag hoist procedures (QuarterM J),Knowledge/Performance Test,"Task also taught in QM J, CIN A-061-0300",Course Revision,Lookout and Signal Operations,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-074,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (314 - Flag Bag Operator),7/1/2020,300 Series PQS Watch Station,"Restow flags and report ""ready port/STBD flag” bag properly",Rating Specific Task,No,A-061-0300,QM J,C-School,SWSC,CTTL,Display flags and pennants,Knowledge/Performance Test,Time Gap,Course Revision,Lookout and Signal Operations,Video,xAPI/Captivate/ VSIM,ALL,Year 6,2,220:01:00,220,Add to current Journeyman Course
PQ26-075,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,ACP 130(a) to encode/decode 10 numeral pennant call signs ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,ACP 130(a) to encode/decode 10 numeral pennant call signs ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-076,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Draft a visual message using OPNAV form2110-30 ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Draft a visual message using OPNAV form2110-30 ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-077,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Record a visual message using OPNAV form 2110-30 ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Record a visual message using OPNAV form 2110-30 ,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-078,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Record an entry in the visual log,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Record an entry in the visual log,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-079,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Route visual message,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Route visual message,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-080,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use ACP 100 us supp to encode/decode 5 address groups ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-081,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use ACP 113 to encode/decode 10 international call signs ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PQ26-082,QM,E4,A,Navigation Specialist,Lookout and Signal Operations,NAVEDTRA 43492 (315 - Signal Bridge Recorder/Messenger),7/1/2020,300 Series PQS Watch Station,Use ACP 130(a) to encode/decode 10 special task organization call signs ,Rating Specific Task,No,A-061-0070,QM A (BL 0),A-School,SWSC,CTTL,Perform tactical signal encoding procedures; perform tactical signal decoding procedures,Knowledge/Performance Test,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
